centro,statistica,mean
foodArea,delay,0.416
foodArea,delay,0.671
foodArea,delay,1.171
foodArea,delay,0.631
foodArea,delay,1.446
foodArea,delay,0.648
foodArea,delay,0.887
foodArea,delay,0.856
foodArea,delay,0.413
foodArea,delay,0.784
foodArea,delay,1.169
foodArea,delay,0.622
foodArea,delay,1.252
foodArea,delay,1.054
foodArea,delay,0.479
foodArea,delay,0.774
foodArea,delay,0.960
foodArea,delay,1.062
foodArea,delay,1.286
foodArea,delay,0.875
foodArea,delay,0.567
foodArea,delay,1.676
foodArea,delay,1.210
foodArea,delay,1.133
foodArea,delay,0.834
foodArea,delay,0.368
foodArea,delay,0.602
foodArea,delay,3.151
foodArea,delay,0.640
foodArea,delay,0.991
foodArea,delay,1.302
foodArea,delay,2.433
foodArea,delay,1.112
foodArea,delay,1.026
foodArea,delay,1.323
foodArea,delay,0.608
foodArea,delay,0.708
foodArea,delay,0.718
foodArea,delay,0.889
foodArea,delay,1.546
foodArea,delay,7.420
foodArea,delay,0.891
foodArea,delay,1.250
foodArea,delay,1.348
foodArea,delay,0.968
foodArea,delay,0.704
foodArea,delay,0.447
foodArea,delay,0.738
foodArea,delay,0.624
foodArea,delay,0.636
foodArea,delay,1.217
foodArea,delay,0.679
foodArea,delay,0.632
foodArea,delay,0.837
foodArea,delay,0.766
foodArea,delay,0.807
foodArea,delay,0.496
foodArea,delay,0.861
foodArea,delay,0.969
foodArea,delay,0.985
foodArea,delay,0.494
foodArea,delay,0.669
foodArea,delay,1.142
foodArea,delay,0.839
foodArea,delay,1.362
foodArea,delay,1.237
foodArea,delay,0.779
foodArea,delay,0.787
foodArea,delay,1.161
foodArea,delay,0.812
foodArea,delay,1.372
foodArea,delay,2.405
foodArea,delay,1.476
foodArea,delay,4.720
foodArea,delay,0.688
foodArea,delay,0.927
foodArea,delay,2.149
foodArea,delay,1.373
foodArea,delay,0.778
foodArea,delay,0.851
foodArea,delay,0.478
foodArea,delay,0.881
foodArea,delay,1.006
foodArea,delay,0.425
foodArea,delay,1.181
foodArea,delay,0.877
foodArea,delay,1.326
gadgetsArea,delay,0.728
gadgetsArea,delay,1.020
gadgetsArea,delay,1.010
gadgetsArea,delay,1.021
gadgetsArea,delay,1.178
gadgetsArea,delay,1.060
gadgetsArea,delay,0.952
gadgetsArea,delay,1.046
gadgetsArea,delay,0.621
gadgetsArea,delay,1.069
gadgetsArea,delay,0.687
gadgetsArea,delay,0.725
gadgetsArea,delay,0.923
gadgetsArea,delay,1.292
gadgetsArea,delay,0.612
gadgetsArea,delay,0.558
gadgetsArea,delay,0.669
gadgetsArea,delay,0.592
gadgetsArea,delay,1.039
gadgetsArea,delay,0.697
gadgetsArea,delay,0.692
gadgetsArea,delay,1.328
gadgetsArea,delay,0.603
